date,AAPL_monthly
2015/4/1 00:00,-6.896551724
2015/4/2 00:00,-29.62962963
2015/4/3 00:00,-57.89473684
2015/4/4 00:00,-25
2015/4/5 00:00,366.6666667
2015/4/6 00:00,14.28571429
2015/4/7 00:00,-6.25
2015/4/8 00:00,-3.333333333
2015/4/9 00:00,31.03448276
2015/4/10 00:00,-71.05263158
2015/4/11 00:00,-9.090909091
2015/4/12 00:00,260
2015/4/13 00:00,-8.333333333
2015/4/14 00:00,-9.090909091
2015/4/15 00:00,3.333333333
2015/4/16 00:00,-3.225806452
2015/4/17 00:00,-66.66666667
2015/4/18 00:00,-40
2015/4/19 00:00,516.6666667
2015/4/20 00:00,-16.21621622
2015/4/21 00:00,0
2015/4/22 00:00,25.80645161
2015/4/23 00:00,12.82051282
2015/4/24 00:00,-63.63636364
2015/4/25 00:00,-31.25
2015/4/26 00:00,763.6363636
2015/4/27 00:00,5.263157895
2015/4/28 00:00,-49
2015/4/29 00:00,-13.7254902
2015/4/30 00:00,-70
2015/5/1 00:00,-70
2015/5/2 00:00,-46.66666667
2015/5/3 00:00,381.25
2015/5/4 00:00,0
2015/5/5 00:00,-2.597402597
2015/5/6 00:00,-2.666666667
2015/5/7 00:00,9.589041096
2015/5/8 00:00,-70
2015/5/9 00:00,-33.33333333
2015/5/10 00:00,312.5
2015/5/11 00:00,-1.515151515
2015/5/12 00:00,-6.153846154
2015/5/13 00:00,16.39344262
2015/5/14 00:00,-1.408450704
2015/5/15 00:00,-75.71428571
2015/5/16 00:00,5.882352941
2015/5/17 00:00,255.5555556
2015/5/18 00:00,15.625
2015/5/19 00:00,-16.21621622
2015/5/20 00:00,-3.225806452
2015/5/21 00:00,11.66666667
2015/5/22 00:00,-70.14925373
2015/5/23 00:00,-35
2015/5/24 00:00,46.15384615
2015/5/25 00:00,257.8947368
2015/5/26 00:00,2.941176471
2015/5/27 00:00,-5.714285714
2015/5/28 00:00,-10.60606061
2015/5/29 00:00,-71.18644068
2015/5/30 00:00,-17.64705882
2015/5/31 00:00,-7.142857143
2015/6/1 00:00,-7.142857143
2015/6/2 00:00,7.692307692
2015/6/3 00:00,0
2015/6/4 00:00,0
2015/6/5 00:00,-64.28571429
2015/6/6 00:00,-50
2015/6/7 00:00,560
2015/6/8 00:00,-12.12121212
2015/6/9 00:00,0
2015/6/10 00:00,-10.34482759
2015/6/11 00:00,-7.692307692
2015/6/12 00:00,-62.5
2015/6/13 00:00,-33.33333333
2015/6/14 00:00,316.6666667
2015/6/15 00:00,4
2015/6/16 00:00,-11.53846154
2015/6/17 00:00,8.695652174
2015/6/18 00:00,-4
2015/6/19 00:00,-75
2015/6/20 00:00,0
2015/6/21 00:00,300
2015/6/22 00:00,0
2015/6/23 00:00,12.5
2015/6/24 00:00,0
2015/6/25 00:00,-22.22222222
2015/6/26 00:00,-66.66666667
2015/6/27 00:00,-14.28571429
2015/6/28 00:00,400
2015/6/29 00:00,-3.333333333
2015/6/30 00:00,-14.81481481
2015/7/1 00:00,-14.81481481
2015/7/2 00:00,-52.17391304
2015/7/3 00:00,-72.72727273
2015/7/4 00:00,33.33333333
2015/7/5 00:00,500
2015/7/6 00:00,20.83333333
2015/7/7 00:00,0
2015/7/8 00:00,10.34482759
2015/7/9 00:00,9.375
2015/7/10 00:00,-74.28571429
2015/7/11 00:00,-33.33333333
2015/7/12 00:00,400
2015/7/13 00:00,6.666666667
2015/7/14 00:00,-15.625
2015/7/15 00:00,14.81481481
2015/7/16 00:00,19.35483871
2015/7/17 00:00,-64.86486486
2015/7/18 00:00,-38.46153846
2015/7/19 00:00,400
2015/7/20 00:00,135
2015/7/21 00:00,6.382978723
2015/7/22 00:00,-52
2015/7/23 00:00,-25
2015/7/24 00:00,-69.44444444
2015/7/25 00:00,-45.45454545
2015/7/26 00:00,466.6666667
2015/7/27 00:00,-14.70588235
2015/7/28 00:00,-3.448275862
2015/7/29 00:00,0
2015/7/30 00:00,-3.571428571
2015/7/31 00:00,-30
2015/8/1 00:00,-30
2015/8/2 00:00,400
2015/8/3 00:00,51.42857143
2015/8/4 00:00,3.773584906
2015/8/5 00:00,-18.18181818
2015/8/6 00:00,-13.33333333
2015/8/7 00:00,-71.79487179
2015/8/8 00:00,-18.18181818
2015/8/9 00:00,322.2222222
2015/8/10 00:00,23.68421053
2015/8/11 00:00,2.127659574
2015/8/12 00:00,-14.58333333
2015/8/13 00:00,-14.63414634
2015/8/14 00:00,-71.42857143
2015/8/15 00:00,-30
2015/8/16 00:00,357.1428571
2015/8/17 00:00,-12.5
2015/8/18 00:00,3.571428571
2015/8/19 00:00,6.896551724
2015/8/20 00:00,67.74193548
2015/8/21 00:00,-57.69230769
2015/8/22 00:00,-45.45454545
2015/8/23 00:00,733.3333333
2015/8/24 00:00,-11
2015/8/25 00:00,-28.08988764
2015/8/26 00:00,-6.25
2015/8/27 00:00,-20
2015/8/28 00:00,-79.16666667
2015/8/29 00:00,-20
2015/8/30 00:00,387.5
2015/8/31 00:00,-4.081632653
2015/9/1 00:00,-4.081632653
2015/9/2 00:00,-4.255319149
2015/9/3 00:00,-22.22222222
2015/9/4 00:00,-65.71428571
2015/9/5 00:00,-41.66666667
2015/9/6 00:00,71.42857143
2015/9/7 00:00,291.6666667
2015/9/8 00:00,87.23404255
2015/9/9 00:00,-28.40909091
2015/9/10 00:00,-28.57142857
2015/9/11 00:00,-68.88888889
2015/9/12 00:00,-35.71428571
2015/9/13 00:00,422.2222222
2015/9/14 00:00,-8.510638298
2015/9/15 00:00,-6.976744186
2015/9/16 00:00,7.5
2015/9/17 00:00,-6.976744186
2015/9/18 00:00,-77.5
2015/9/19 00:00,-22.22222222
2015/9/20 00:00,442.8571429
2015/9/21 00:00,-7.894736842
2015/9/22 00:00,-11.42857143
2015/9/23 00:00,-3.225806452
2015/9/24 00:00,10
2015/9/25 00:00,-66.66666667
2015/9/26 00:00,-18.18181818
2015/9/27 00:00,300
2015/9/28 00:00,11.11111111
2015/9/29 00:00,-5
2015/9/30 00:00,-8.571428571
2015/10/1 00:00,-8.571428571
2015/10/2 00:00,-71.875
2015/10/3 00:00,-22.22222222
2015/10/4 00:00,385.7142857
2015/10/5 00:00,-11.76470588
2015/10/6 00:00,0
2015/10/7 00:00,3.333333333
2015/10/8 00:00,-9.677419355
2015/10/9 00:00,-71.42857143
2015/10/10 00:00,-37.5
2015/10/11 00:00,460
2015/10/12 00:00,17.85714286
2015/10/13 00:00,-6.060606061
2015/10/14 00:00,-3.225806452
2015/10/15 00:00,-3.333333333
2015/10/16 00:00,-75.86206897
2015/10/17 00:00,-14.28571429
2015/10/18 00:00,333.3333333
2015/10/19 00:00,19.23076923
2015/10/20 00:00,0
2015/10/21 00:00,9.677419355
2015/10/22 00:00,26.47058824
2015/10/23 00:00,-67.44186047
2015/10/24 00:00,-28.57142857
2015/10/25 00:00,310
2015/10/26 00:00,143.902439
2015/10/27 00:00,-20
2015/10/28 00:00,-40
2015/10/29 00:00,-10.41666667
2015/10/30 00:00,-74.41860465
2015/10/31 00:00,506.6666667
2015/11/1 00:00,506.6666667
2015/11/2 00:00,6.593406593
2015/11/3 00:00,1.030927835
2015/11/4 00:00,-10.20408163
2015/11/5 00:00,-4.545454545
2015/11/6 00:00,-70.23809524
2015/11/7 00:00,-20
2015/11/8 00:00,270
