date,AXP_monthly
2015-04-01 00:00:00,-28
2015-04-02 00:00:00,-28
2015-04-03 00:00:00,5.555555556
2015-04-04 00:00:00,-36.84210526
2015-04-05 00:00:00,87.5
2015-04-06 00:00:00,13.33333333
2015-04-07 00:00:00,11.76470588
2015-04-08 00:00:00,-12.28070175
2015-04-09 00:00:00,2
2015-04-10 00:00:00,31.37254902
2015-04-11 00:00:00,-100
2015-04-12 00:00:00,inf
2015-04-13 00:00:00,221.7391304
2015-04-14 00:00:00,-28.37837838
2015-04-15 00:00:00,-43.39622642
2015-04-16 00:00:00,156.6666667
2015-04-17 00:00:00,29.87012987
2015-04-18 00:00:00,-25
2015-04-19 00:00:00,-33.33333333
2015-04-20 00:00:00,-10
2015-04-21 00:00:00,68.88888889
2015-04-22 00:00:00,-26.31578947
2015-04-23 00:00:00,10.71428571
2015-04-24 00:00:00,22.58064516
2015-04-25 00:00:00,-55.26315789
2015-04-26 00:00:00,-14.70588235
2015-04-27 00:00:00,141.3793103
2015-04-28 00:00:00,-21.42857143
2015-04-29 00:00:00,-20
2015-04-30 00:00:00,36.36363636
2015-05-01 00:00:00,-21.15384615
2015-05-02 00:00:00,-21.15384615
2015-05-03 00:00:00,-100
2015-05-04 00:00:00,inf
2015-05-05 00:00:00,-8.108108108
2015-05-06 00:00:00,16.17647059
2015-05-07 00:00:00,-100
2015-05-08 00:00:00,inf
2015-05-09 00:00:00,-59.45945946
2015-05-10 00:00:00,-100
2015-05-11 00:00:00,inf
2015-05-12 00:00:00,-33.96226415
2015-05-13 00:00:00,168.5714286
2015-05-14 00:00:00,-52.12765957
2015-05-15 00:00:00,20
2015-05-16 00:00:00,-72.22222222
2015-05-17 00:00:00,-100
2015-05-18 00:00:00,inf
2015-05-19 00:00:00,-26.92307692
2015-05-20 00:00:00,12.28070175
2015-05-21 00:00:00,45.3125
2015-05-22 00:00:00,-10.75268817
2015-05-23 00:00:00,-37.34939759
2015-05-24 00:00:00,-34.61538462
2015-05-25 00:00:00,2.941176471
2015-05-26 00:00:00,94.28571429
2015-05-27 00:00:00,-50
