Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,82.440002,82.449997,81.449997,82.320000,67.045197,7395300
2015-04-02,82.169998,82.589996,81.919998,82.430000,67.134781,6169800
2015-04-06,81.919998,83.230003,81.510002,83.040001,67.631622,6856300
2015-04-07,82.930000,83.290001,82.330002,82.389999,67.102226,6329900
2015-04-08,82.300003,83.180000,82.269997,82.769997,67.411705,6523400
2015-04-09,82.629997,82.949997,82.010002,82.889999,67.509422,6185000
2015-04-10,82.800003,83.629997,82.720001,83.349998,67.884087,7001700
2015-04-13,83.000000,83.949997,82.940002,83.430000,67.949257,8290500
2015-04-14,83.389999,83.879997,83.050003,83.599998,68.087677,6792600
2015-04-15,83.849998,84.199997,83.480003,83.510002,68.014412,7006400
2015-04-16,83.559998,84.070000,83.349998,83.500000,68.006264,7615900
2015-04-17,83.000000,83.220001,82.029999,82.529999,67.216240,9533800
2015-04-20,83.089996,83.980003,82.800003,82.870003,67.493156,7416000
2015-04-21,83.389999,83.800003,82.900002,83.080002,67.664177,7696400
2015-04-22,83.220001,83.339996,82.599998,83.089996,67.672325,6753100
2015-04-23,81.419998,82.099998,80.900002,80.949997,66.459702,14569500
2015-04-24,81.040001,81.529999,80.900002,81.000000,66.500732,8785500
2015-04-27,80.910004,81.199997,80.470001,80.599998,66.172379,9192300
2015-04-28,80.730003,80.820000,80.190002,80.419998,66.024567,8395500
2015-04-29,80.000000,80.309998,79.720001,79.849998,65.556610,11858500
2015-04-30,79.949997,80.150002,79.070000,79.510002,65.277466,9409300
2015-05-01,79.760002,80.320000,79.629997,80.290001,65.917862,8193000
2015-05-04,80.480003,80.970001,80.300003,80.349998,65.967117,7203800
2015-05-05,80.500000,80.650002,79.779999,80.070000,65.737228,6589400
2015-05-06,80.339996,80.580002,79.519997,80.400002,66.008141,7335700
2015-05-07,80.370003,80.550003,80.000000,80.199997,65.843964,7224300
2015-05-08,80.889999,81.209999,80.820000,80.959999,66.467903,6929400
2015-05-11,80.949997,80.989998,80.260002,80.269997,65.901428,5237800
2015-05-12,80.029999,80.290001,79.360001,79.949997,65.638718,6305800
2015-05-13,80.160004,80.589996,79.550003,79.699997,65.433441,6459900
2015-05-14,80.110001,80.690002,80.089996,80.570000,66.147705,5634200
2015-05-15,80.830002,81.120003,80.730003,81.050003,66.541809,7454800
2015-05-18,80.970001,81.129997,80.500000,80.739998,66.287292,5590800
2015-05-19,80.750000,80.949997,80.330002,80.830002,66.361183,5729500
2015-05-20,80.930000,81.000000,80.449997,80.480003,66.073837,5487000
2015-05-21,80.169998,80.580002,79.839996,80.410004,66.016388,6054700
2015-05-22,80.239998,80.400002,79.919998,79.949997,65.638718,6003600
2015-05-26,79.970001,80.070000,78.940002,79.139999,64.973717,6698300
2015-05-27,79.220001,79.940002,79.089996,79.389999,65.178947,8094600
2015-05-28,79.430000,79.449997,79.019997,79.330002,65.129700,5803400
2015-05-29,79.180000,79.239998,78.190002,78.389999,64.357941,12551700
2015-06-01,78.650002,79.070000,78.269997,78.849998,64.735619,7588000
2015-06-02,78.459999,78.720001,78.169998,78.540001,64.481102,7380800
2015-06-03,78.910004,78.930000,78.269997,78.559998,64.497536,5985800
2015-06-04,78.410004,78.839996,78.059998,78.150002,64.160912,7714600
2015-06-05,78.040001,78.120003,77.370003,77.430000,63.569794,9439700
2015-06-08,77.480003,77.980003,77.099998,77.709999,63.799694,10916200
2015-06-09,77.970001,79.330002,77.820000,78.900002,64.776672,11528900
2015-06-10,79.230003,79.790001,79.010002,79.540001,65.302101,9483500
2015-06-11,79.930000,79.930000,79.239998,79.410004,65.195389,7633300
2015-06-12,79.169998,79.320000,78.570000,78.870003,64.752037,6508600
2015-06-15,78.330002,78.459999,77.930000,78.120003,64.136292,7527900
2015-06-16,79.599998,79.599998,78.540001,79.099998,64.940865,8285700
2015-06-17,79.199997,80.190002,79.160004,80.080002,65.745445,9305800
2015-06-18,80.330002,81.220001,80.300003,80.820000,66.352982,10712500
2015-06-19,80.709999,81.199997,80.480003,80.540001,66.123100,15598800
2015-06-22,80.919998,81.180000,80.330002,80.449997,66.049202,6907900
2015-06-23,80.330002,80.449997,79.620003,79.790001,65.507362,7190600
2015-06-24,79.800003,79.849998,79.500000,79.510002,65.277466,8843700
2015-06-25,79.709999,79.900002,79.389999,79.389999,65.178947,5855700
2015-06-26,79.540001,79.739998,79.279999,79.339996,65.137894,7703200
2015-06-29,78.949997,79.370003,78.260002,78.320000,64.300484,7966200
2015-06-30,78.919998,79.010002,78.129997,78.239998,64.234810,8451400
2015-07-01,78.389999,79.769997,78.120003,79.720001,65.449883,8868000
2015-07-02,80.010002,80.349998,79.769997,79.930000,65.622284,6602500
2015-07-06,79.610001,80.220001,79.500000,80.050003,65.720795,6601200
2015-07-07,80.059998,81.830002,80.059998,81.720001,67.091873,11690400
2015-07-08,81.209999,81.690002,80.889999,80.989998,66.492538,6724700
2015-07-09,81.750000,82.000000,80.519997,80.660004,66.221619,10419800
2015-07-10,81.230003,81.360001,80.760002,80.949997,66.459702,6892500
2015-07-13,81.519997,82.040001,81.339996,81.910004,67.247871,7332900
2015-07-14,82.040001,82.459999,81.980003,82.040001,67.354584,6119500
2015-07-15,81.910004,82.320000,81.839996,82.150002,67.444901,6673700
2015-07-16,82.449997,82.550003,82.099998,82.300003,67.568062,6623400
2015-07-17,81.889999,82.379997,81.599998,82.239998,67.518791,5827300
2015-07-20,82.089996,82.349998,82.000000,82.190002,67.477745,5012900
2015-07-21,82.010002,82.129997,81.370003,81.629997,67.017998,7512400
2015-07-22,81.029999,81.300003,80.669998,80.830002,66.904587,6106400
2015-07-23,80.830002,80.889999,80.139999,80.699997,66.796997,5380900
2015-07-24,80.510002,80.730003,80.230003,80.290001,66.457634,5660800
2015-07-27,79.830002,80.070000,79.430000,79.970001,66.192734,8613600
2015-07-28,80.139999,80.660004,79.910004,80.230003,66.407959,8649900
2015-07-29,80.260002,80.989998,80.160004,80.620003,66.730782,8921500
2015-07-30,79.400002,79.480003,77.150002,77.389999,64.057243,22067800
2015-07-31,77.629997,77.739998,76.660004,76.699997,63.486103,11877200
2015-08-03,76.510002,77.089996,76.010002,76.400002,63.237801,9511300
2015-08-04,76.029999,76.339996,75.750000,75.910004,62.832195,13369100
2015-08-05,76.050003,76.540001,75.750000,75.769997,62.716316,10895400
2015-08-06,76.010002,76.010002,75.250000,75.739998,62.691479,9353300
2015-08-07,75.589996,75.720001,75.339996,75.480003,62.476307,10045400
2015-08-10,75.949997,76.500000,75.800003,76.379997,63.221222,9165900
2015-08-11,76.040001,76.449997,75.809998,76.220001,63.088810,7491900
2015-08-12,75.889999,76.430000,75.339996,76.389999,63.229519,10397700
2015-08-13,76.489998,76.510002,75.629997,75.779999,62.724609,5948000
2015-08-14,75.739998,75.809998,75.379997,75.620003,62.592167,5586900
2015-08-17,75.809998,75.809998,74.750000,75.529999,62.517673,8683900
2015-08-18,75.580002,75.800003,75.000000,75.129997,62.186592,7445900
2015-08-19,74.930000,74.930000,74.019997,74.120003,61.350586,9865300
2015-08-20,73.750000,74.720001,73.459999,73.910004,61.176773,10696500
2015-08-21,73.550003,73.900002,71.830002,71.839996,59.463383,15763900
2015-08-24,68.570000,71.070000,65.019997,69.139999,57.228535,23696300
2015-08-25,72.180000,72.230003,68.300003,68.419998,56.632587,21476900
2015-08-26,69.900002,71.000000,68.949997,70.900002,58.685333,17464700
2015-08-27,71.400002,71.750000,70.019997,71.480003,59.165421,13434000
2015-08-28,71.169998,71.269997,70.589996,71.209999,58.941910,10020000
2015-08-31,71.000000,71.000000,70.300003,70.669998,58.494957,9520900
2015-09-01,69.370003,69.879997,68.519997,68.900002,57.029900,15437700
2015-09-02,69.650002,69.849998,69.220001,69.809998,57.783112,8903700
2015-09-03,70.180000,70.459999,69.699997,69.930000,57.882439,8468300
2015-09-04,69.279999,69.279999,68.500000,68.760002,56.914009,11497500
2015-09-08,70.309998,70.440002,69.559998,69.980003,57.923836,9182300
2015-09-09,70.440002,70.540001,68.370003,68.480003,56.682259,11070600
2015-09-10,68.120003,68.949997,67.750000,68.320000,56.549820,12591100
